ros_time,wall_time,cmd_vx,cmd_vy,cmd_wz,wheel_vx,wheel_vy,wheel_wz,icp_msg_age,icp_healthy,icp_frozen_count,icp_vx,icp_vy,icp_wz,icp_px,icp_py,icp_pyaw,icp_cov_xx,icp_cov_yy,icp_cov_aa,imu_wz,imu_cov,imu_msg_age,wheel_px,wheel_py,wheel_pyaw,amcl_px,amcl_py,amcl_pyaw,map2odom_x,map2odom_y,map2odom_yaw,particle_count,scan_valid_pts,scan_near_ratio,lf_mode,lf_error_deg,lf_center_count,lf_kanbujian,lf_vision_valid,lf_lane_tracks,lf_pair_valid,lf_pair_slope_diff,lf_half_width,lf_half_width_samples,lf_far_turn,lf_far_confidence,lf_far_points,lf_image_age,wz_sign_flip_event
1785480174.6812189,1785480174.6812367,0.24,0.0,0.08908105420799269,0.22216528380229628,0.005283198822127769,0.2248408903980329,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.978899650324733,-11.505859982856828,-1.9573057416774635,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,RUNNING,0.0,49,1,1,1,0,,230.8,0,normal,0.143,6,0.03,0
1785480174.7281911,1785480174.728211,0.24,0.0,0.0024468437684517707,0.23300261471948147,-0.005283198822127769,0.17487624808735888,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.9742791220967189,-11.516514792079086,-1.9485916339274723,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,RUNNING,-2.9,48,1,1,1,0,,230.8,0,normal,0.143,6,0.01,0
1785480174.7761152,1785480174.7761576,0.24,0.0,-0.012109540548323403,0.22758394926088887,0.0,0.14989392693202191,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.970077230869556,-11.527102673188443,-1.9410890416184823,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,RUNNING,-2.7,49,1,1,1,0,,230.8,0,normal,0.143,6,0.02,0
1785480174.8223584,1785480174.8223693,0.24,0.0,-0.036327690125572694,0.2275839492608889,0.0,0.04996464231067398,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.9659843129415464,-11.53764599738737,-1.938606025035613,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,RUNNING,-5.4,49,1,1,1,0,,230.8,0,normal,0.143,6,0.0,0
1785480174.8725033,1785480174.8725185,0.24,0.0,-0.08398179416394427,0.23842128017807407,0.010566397644255559,0.04996464231067398,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.9621600765972127,-11.549051377053532,-1.9360875528430548,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,RUNNING,-8.1,49,1,1,1,0,,230.8,0,normal,0.143,6,0.02,0
1785480174.9176042,1785480174.917619,0.24,0.0,-0.09931244195900385,0.2330026147194815,-0.005283198822127776,-0.02498232115533701,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.9577770031906867,-11.559776479409072,-1.9373294910302719,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,RUNNING,-2.7,50,1,1,1,0,,230.8,0,normal,0.119,5,0.03,0
1785480174.9665196,1785480174.966557,0.24,0.0,-0.03410778065311043,0.23300261471948147,0.005283198822127776,0.074946963466011,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.9538416495762045,-11.570766361094662,-1.9335756747841304,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,RUNNING,-7.4,52,1,1,1,0,,230.8,0,normal,0.143,6,0.02,0
1785480175.016289,1785480175.0163038,0.24,0.0,-0.05938566191477727,0.2330026147194815,-0.005283198822127776,-0.02498232115533701,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.9494729815608072,-11.58153336648428,-1.9348211905896309,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,RUNNING,-7.1,53,1,1,1,0,,230.8,0,normal,0.143,6,0.03,0
1785480175.0666933,1785480175.0667381,0.24,0.0,-0.0894514651827471,0.23300261471948147,0.005283198822127776,-0.12491160577668495,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.9455581291079402,-11.592553005501408,-1.9410888814818041,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,RUNNING,-9.1,55,1,1,1,0,,230.8,0,normal,0.167,7,0.02,0
1785480175.116319,1785480175.1163356,0.24,0.0,-0.13394664800324227,0.2275839492608889,0.0,-0.04996464231067402,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.9413646801256068,-11.60335530202845,-1.943632887455275,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,RUNNING,-2.3,57,1,1,1,0,,230.8,0,normal,0.167,7,0.03,0
